仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/09/01","554　愛国東店","0311","ジャパンフーズ","01","食品","4901027686702","うらじろがし溶石茶（ＯＳＫ）５ｇＸ３２","8.00","3.00","720.00","2160","1058","3174","1014","31.95"
"2022/09/01","554　愛国東店","0311","ジャパンフーズ","01","食品","4945211036027","つかれず粉　　　　　170Ｇ","8.00","3.00","400.00","1200","540","1620","420","25.93"
"2022/09/01","554　愛国東店","0311","ジャパンフーズ","01","食品","4973044090732","杉食　ぬか玄　粉末２．５ｇ×８０包","8.00","1.00","1300.00","1300","1814","1814","514","28.34"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4902508106993","ハビナース　トイレに流せるパッとおしりふき　７２枚","10.00","5.00","270.00","1350","360","1800","450","25"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4902508116015","トイレに流せるおしりふき　大判厚手　４０枚","10.00","3.00","264.00","792","371","1113","321","28.84"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4958286706276","ハクゾウ　プラスチックグローブＥＬ　Ｍ１００枚","10.00","2.00","600.00","1200","968","1936","736","38.02"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4987072005736","ブルーレットおくだけラベンダーつめ替　２５ｇ","10.00","3.00","170.00","510","239","717","207","28.87"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4987072023389","ブルーレットおくだけブルージャスミンつめ替　２５ｇ","10.00","3.00","170.00","510","239","717","207","28.87"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4987072036655","生葉ｍ　無研磨タイプ　９５ｇ","10.00","1.00","613.00","613","877","877","264","30.1"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4987072332238","ブルーレットおくだけ　ブーケつめ替　２５ｇ","10.00","3.00","170.00","510","239","717","207","28.87"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4987072500415","タフグリップクッション透明　４０ｇ","10.00","1.00","674.00","674","968","968","294","30.37"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4987072500460","タフグリップクッション透明　６５ｇ","10.00","1.00","981.00","981","1518","1518","537","35.38"
"2022/09/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4987603169012","ＦＣ　ステラーゼ　Ｓ　１２枚入","10.00","3.00","160.00","480","327","981","501","51.07"
"2022/09/01","554　愛国東店","0530","ほくやく","03","ＯＴＣ医薬品類","4987061015753","救心　１２０粒","10.00","1.00","4940.00","4940","6578","6578","1638","24.9"
"2022/09/01","554　愛国東店","0530","ほくやく","03","ＯＴＣ医薬品類","4987441201912","ヘデクパウダー　　１５包","10.00","1.00","484.00","484","767","767","283","36.9"
"2022/09/01","554　愛国東店","0530","ほくやく","03","ＯＴＣ医薬品類","4987441201936","ヘデクパウダー　　６５包","10.00","2.00","1331.00","2662","2178","4356","1694","38.89"
"2022/09/01","554　愛国東店","0530","ほくやく","04","化粧品","4987036412631","メンターム薬用スティック　レギュラー５ｇ","10.00","1.00","108.00","108","140","140","32","22.86"
"2022/09/01","554　愛国東店","0699","材料転用","05","家庭用品","4582197051233","釧路市ごみ処理手数料　　　　不燃　３０Ｌ　１０枚","10.00","-1.00","670.00","-670","780","-780","-110","14.1"
"2022/09/01","554　愛国東店","0699","材料転用","05","家庭用品","4582197051271","釧路市ごみ処理手数料　　　　　不燃　３０Ｌ　１枚","10.00","10.00","67.00","670","78","780","110","14.1"
"2022/09/01","554　愛国東店","0918","住之江店","01","食品","4954177403118","大和生物研究所　ＳＥ－１０　１．５ＧＸ６０包","8.00","1.00","3053.00","3053","8100","8100","5047","62.31"
"2022/09/01","554　愛国東店","0918","住之江店","01","食品","4987596255563","ヤクケン　バイオリンクＢＣＥｘ５０３　３０ｍｌ×３","8.00","2.00","4537.00","9074","9720","19440","10366","53.32"
"2022/09/01","554　愛国東店","0918","住之江店","02","日用雑貨","4987305020338","全薬デンキュアＳ　１２０ｇ","10.00","2.00","886.00","1772","2090","4180","2408","57.61"
"2022/09/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4987474153288","ワグラスＤ錠　３００錠","10.00","1.00","1863.00","1863","4642","4642","2779","59.87"
"2022/09/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4987474502116","パティオレディー","10.00","1.00","1125.00","1125","2750","2750","1625","59.09"
"2022/09/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4987474502215","パティオレディー","10.00","1.00","1755.00","1755","4290","4290","2535","59.09"
"2022/09/01","554　愛国東店","0918","住之江店","04","化粧品","0000049586022","サメミロンエース　７ｍｌ","10.00","3.00","959.00","2877","2200","6600","3723","56.41"
"2022/09/01","554　愛国東店","0918","住之江店","05","家庭用品","4582197051127","釧路市ごみ処理手数料　　　　可燃　２０Ｌ　１０枚","10.00","5.00","441.00","2205","520","2600","395","15.19"
"2022/09/01","554　愛国東店","0918","住之江店","90","湧永製品","4968250294111","プレビジョン　ﾗｸｯｼｮﾝ　270錠","8.00","6.00","1709.00","10254","6264","37584","27330","72.72"
"2022/09/01","554　愛国東店","0918","住之江店","90","湧永製品","4968250305312","キヨーレオピンネオＷ　　２４０ｍｌ","10.00","6.00","5574.00","33444","11737","70422","36978","52.51"
"2022/09/01","554　愛国東店","0918","住之江店","90","湧永製品","4968250854124","プレビジョン　グリーン末　９０包","8.00","3.00","1414.00","4242","5184","15552","11310","72.72"
"2022/09/01","554　愛国東店","0918","住之江店","90","湧永製品","4968250867117","プレビジョン　カルマジン　８００粒","8.00","12.00","1119.00","13428","4104","49248","35820","72.73"
