﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"236ミラドラ山口あさか店","","03","","0312","","","","","","","","4987301847335","小太郎生薬便秘薬 240錠","10","","1","1,013.00","1,800","1","1,800","787","43.72","25.02","24.85","65.48"
"","","03","","0314","","","","","","","","4987415973654","ドゥーエ　乳液","10","","2","1,430.00","1,512","1","1,512","82","5.42","21.02","20.87","65.48"
"","","02","","0611","","","","0904","","0070","","4987167031237","ケアリーブ素肌タイプ　Ｍ５０枚","10","","3","422.00","632","2","1,264","420","33.23","63.68","",""
"","","01","","0312","","","","","","","","4946842638536","ネナイト　30日分","8","","4","1,197.00","1,197","1","1,197","0","0.00","63.54","16.52","65.48"
"","","03","","0312","","","","0901","","0074","","4987188161074","眼涼　１０ｍｌ","10","","5","392.00","933","1","933","541","57.98","12.97","",""
"","","03","","0611","","","","0010","","0009","","4987241200979","ドゥーテストｈＣＧ 2回用","10","2ｶｲﾖｳ","6","600.00","900","1","900","300","33.33","12.51","",""
"","","03","","0611","","","","0010","","0003","","4987028123378","チョコラＢＢプラス　６０錠","10","","7","851.00","722","1","722","-129","-17.87","10.04","",""
"","","02","","0312","","","","","","","","4901301348036","めぐりズム　蒸気でホットアイマスク　完熟ゆず","10","12ﾏｲ","8","700.00","721","1","721","21","2.91","36.32","9.95","65.48"
"","","03","","0312","","","","","","","","4987299225528","デイトナS　12カプセル","10","12CAP","9","350.00","351","2","702","2","0.28","9.76","9.69","65.48"
"","","01","","0312","","","","","","","","4902782011587","丸善プロテクトささみPコンソメ１３０ｇ","8","","10","158.00","137","5","687","-103","-14.99","36.46","9.48","65.48"
"","","03","","0751","","","","","","","","4987305115348","セミドン顆粒　12包","10","12ﾎｳ","11","624.00","625","1","625","1","0.16","8.69","8.63","65.48"