ìXï‹ñº,îÑè„ì˙,ê≈çûîÑè„ã‡äz,ê≈î≤îÑè„ã‡äz,è¡îÔê≈8%,è¡îÔê≈10%,ëeóòã‡äz,ëeóòó¶,îÉè„ì_êî,àÍì_íPâø,ï‘ïiã‡äz,ï‘ïiì_êî,ó›åvîÑè„ã‡äz,ó›åvëeóòã‡äz
"ñ{ïî","2022/10/01","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/03","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/04","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/06","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/07","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/08","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/10","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"í îÃ","2022/10/01","64,520","58,655","0","5,865","27,508","46.90","7","8,379.29","0","0","64,520","27,508"
"í îÃ","2022/10/03","0","0","0","0","0","0.00","0","0.00","0","0","64,520","27,508"
"í îÃ","2022/10/04","5,530","5,028","0","502","3,152","62.69","2","2,514.00","0","0","70,050","30,660"
"í îÃ","2022/10/05","0","0","0","0","0","0.00","0","0.00","0","0","70,050","30,660"
"í îÃ","2022/10/06","104,930","95,394","0","9,537","50,770","53.22","7","13,627.71","0","0","174,980","81,430"
"í îÃ","2022/10/07","0","0","0","0","0","0.00","0","0.00","0","0","174,980","81,430"
"ç≤ÅXìX","2022/10/01","388,362","353,065","0","35,298","146,953","41.62","504","700.53","0","0","563,342","228,383"
"ç≤ÅXìX","2022/10/02","57,603","52,371","0","5,232","25,068","47.87","521","100.52","0","0","620,945","253,451"
"ç≤ÅXìX","2022/10/03","60,966","55,427","0","5,539","19,872","35.85","131","423.11","0","0","681,911","273,323"
"ç≤ÅXìX","2022/10/04","130,989","119,084","0","11,905","41,532","34.88","457","260.58","1,040","26","812,900","314,855"
"ç≤ÅXìX","2022/10/05","89,646","81,502","0","8,144","30,753","37.73","228","357.46","0","0","902,546","345,608"
"ç≤ÅXìX","2022/10/06","34,090","30,992","0","3,098","10,184","32.86","7","4,427.43","127,091","1","936,636","355,792"
"ç≤ÅXìX","2022/10/07","182,413","165,836","0","16,577","38,207","23.04","59","2,810.78","0","0","1,119,049","393,999"
"ç≤ÅXìX","2022/10/08","191,527","174,123","0","17,405","71,709","41.18","109","1,597.46","0","0","1,310,576","465,708"
"ç≤ÅXìX","2022/10/09","434,425","394,935","0","39,490","126,942","32.14","228","1,732.17","0","0","1,745,001","592,650"
