﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"631　パスコ店","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","10","120ML","1","5,300.00","10,766","12","129,197","65,597","50.77","10.87","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260116","レオピンロイヤル　６０ｍｌ","10","60ML","2","4,688.09","8,538","11","93,919","42,350","45.09","7.90","",""
"","⚫","03","ＯＴＣ医薬品類","0312","ジョヴィＪＯＶＹ","","","","","","","4954097858975","ﾗ-ﾊﾞｴ-ｽ　D3000","10","","3","2,000.00","2,837","28","79,424","23,424","29.49","5.75","2.46","54.13"
"","","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","","","","","4987103049371","コンドロイチンＺＳ　４５０錠","10","450ﾂﾌﾞ","4","6,000.00","11,300","7","79,100","37,100","46.90","5.72","2.45","54.13"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","10","","5","2,891.00","5,962","13","77,505","39,922","51.51","6.52","",""
"","","04","化粧品","0139","ｉRIS北陸販売株式会社","","","0012","帳票グループ","0002","売上　シミズ推奨品","4571432380016","エバァーチェンジングトナー　１５０ｍｌ","10","","6","1,741.95","3,702","20","74,033","39,194","52.94","7.92","",""
"","","90","湧永製品","0627","湧永製薬","","","","","","","4968250300119","宝脚　３００錠","8","300ﾂﾌﾞ","7","2,500.00","7,785","9","70,065","47,565","67.89","5.89","2.17","54.13"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260123","レオピンロイヤル　１２０ｍｌ","10","120ML","8","8,635.00","13,459","5","67,294","24,119","35.84","5.66","",""
"","","02","日用雑貨","0191","競合店仕入","","","","","","","4580743145382","抗原+抗体検査一体型検査ペン","10","","9","406.42","1,180","53","62,540","41,000","65.56","3.53","1.94","54.13"
"","","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4987433120054","プラセントップ液３０ｍｌ","10","30ML","10","310.00","738","80","59,000","34,200","57.97","4.27","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250854124","プレビジョングリーン末　９０包","8","90","11","1,401.00","4,508","13","58,598","40,385","68.92","4.93","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260130","レオピンロイヤル　２４０ｍｌ","10","240ML","12","15,347.00","27,756","2","55,512","24,818","44.71","4.67","",""
"","⚫","02","日用雑貨","0312","ジョヴィＪＯＶＹ","","","","","","","4901301365545","ｱﾀｯｸ高活性ﾊﾞｲｵEX大","10","","13","195.00","215","229","49,225","4,570","9.28","2.78","1.53","54.13"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","10","240ML","14","9,348.00","16,361","3","49,082","21,038","42.86","4.13","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250266316","キヨーレオピンＮＥＯ　２４０ｍｌ","10","240ML","15","4,673.00","9,336","5","46,680","23,315","49.95","3.93","",""
"","","01","食品","0312","ジョヴィＪＯＶＹ","","","","","","","4987035576419","オーエスワン　５００ｍｌ","8","500ML","16","143.00","178","259","46,102","9,065","19.66","8.51","1.43","54.13"
"","","04","化粧品","0990","しみず倉庫","","","","","","","4515748001760","ＥＣエヴォリューション　　１５０Ｇ","8","","17","2,716.00","5,957","7","41,700","22,688","54.41","4.46","1.29","54.13"
"","","04","化粧品","0139","ｉRIS北陸販売株式会社","","","0012","帳票グループ","0002","売上　シミズ推奨品","4571432380092","アロマＤｅクレ－ム３０ｇ","10","30G","18","3,457.14","5,876","7","41,134","16,934","41.17","4.40","",""
"","","02","日用雑貨","0404","タヒボジャパン","","","","","","","4571310341139","ウィルスバリアノヴァ　パウチ・ゲル 1000 ｇ","10","1000G","19","4,290.00","7,800","5","39,000","17,550","45.00","2.20","1.21","54.13"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250858115","プレビジョン　ビルベリー＆ＤＨＡ　１２０粒","8","120","20","1,692.00","4,865","8","38,917","25,381","65.22","3.27","",""
"","⚫","02","日用雑貨","0312","ジョヴィＪＯＶＹ","","","0904","ブランド（雑貨メーカー）","0022","花王","4901301745910","ワイドハイター　詰替　７２０ｍｌ","10","720ML","21","85.00","97","374","36,415","4,625","12.70","2.05","",""
"","","02","日用雑貨","0408","大協紙商事","","","","","","","4901750404659","クリネックスティシュー","10","180ｸﾐX5ﾊｺ","22","295.00","319","114","36,376","2,746","7.55","2.05","1.13","54.13"
