ìXï‹ñº,îÑè„ì˙,ê≈çûîÑè„ã‡äz,ê≈î≤îÑè„ã‡äz,è¡îÔê≈8%,è¡îÔê≈10%,ëeóòã‡äz,ëeóòó¶,îÉè„ì_êî,àÍì_íPâø,ï‘ïiã‡äz,ï‘ïiì_êî,ó›åvîÑè„ã‡äz,ó›åvëeóòã‡äz
"ñ{ïî","2022/10/01","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/03","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/04","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/06","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/07","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/08","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/10","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/11","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/12","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/13","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/14","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/15","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/17","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/18","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/19","30,360","27,600","0","2,760","6,600","23.91","2","13,800.00","0","0","30,360","6,600"
"ñ{ïî","2022/10/20","0","0","0","0","0","0.00","0","0.00","0","0","30,360","6,600"
"ñ{ïî","2022/10/21","0","0","0","0","0","0.00","0","0.00","0","0","30,360","6,600"
"ñ{ïî","2022/10/22","0","0","0","0","0","0.00","0","0.00","0","0","30,360","6,600"
"ñ{ïî","2022/10/24","0","0","0","0","0","0.00","0","0.00","0","0","30,360","6,600"
"ñ{ïî","2022/10/25","0","0","0","0","0","0.00","0","0.00","0","0","30,360","6,600"
"ñ{ïî","2022/10/26","0","0","0","0","0","0.00","0","0.00","0","0","30,360","6,600"
"ñ{ïî","2022/10/27","0","0","0","0","0","0.00","0","0.00","0","0","30,360","6,600"
"í îÃ","2022/10/01","64,520","58,655","0","5,865","27,508","46.90","7","8,379.29","0","0","94,880","34,108"
"í îÃ","2022/10/03","0","0","0","0","0","0.00","0","0.00","0","0","94,880","34,108"
"í îÃ","2022/10/04","5,530","5,028","0","502","3,152","62.69","2","2,514.00","0","0","100,410","37,260"
