仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/10/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710459814","コーセーＰＤ　ＳＥＥリキッドＦＤ　４０５","10.00","1.00","2835.00","2835","4950","4950","2115","42.73"
"2022/10/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710461527","ｽﾊﾟｴﾒｰﾙﾃﾞｲEｶﾊﾞｰ","10.00","1.00","2520.00","2520","4400","4400","1880","42.73"
"2022/10/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710478556","PDﾍｱｶﾗｰﾄﾘｰﾄﾒﾝﾄ02DBR","10.00","2.00","1449.00","2898","2530","5060","2162","42.73"
"2022/10/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710486438","PDﾌﾟｰﾄﾞﾙｴﾒｰﾙN(R)","10.00","1.00","2520.00","2520","4400","4400","1880","42.73"
"2022/10/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710487015","PD ﾌｧﾝｺﾞｼｬﾝﾌﾟｰ(  詰替え用  )","10.00","1.00","945.00","945","1650","1650","705","42.73"
"2022/10/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710496550","PD Fﾎﾞﾃﾞｨｿｰﾌﾟ (ﾚﾌｨﾙ)","10.00","1.00","945.00","945","1650","1650","705","42.73"
"2022/10/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710496581","PD ｵｲﾙｲﾝﾎﾞﾃﾞｨﾐﾙｸ","10.00","1.00","1260.00","1260","2200","2200","940","42.73"
"2022/10/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710522297","PD ﾌﾞﾗﾝｺﾝﾃﾞｲSﾐﾙｸ","10.00","1.00","2016.00","2016","3520","3520","1504","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254029121","CPBｵﾝﾌﾞﾙｸﾙｰﾙｿﾛ204","10.00","2.00","2394.00","4788","4180","8360","3572","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254059746","CPB ﾗｲﾅｰLｱﾝﾀﾝｽ 1","10.00","1.00","3150.00","3150","5500","5500","2350","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254661888","CPBｺﾝｻﾝﾄﾚ 6ｾｯﾄ","10.00","1.00","7560.00","7560","13200","13200","5640","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254670750","CPBﾏｽｶﾗｼﾙｴﾄﾌｪ1","10.00","1.00","3150.00","3150","5500","5500","2350","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254674529","CPB  　  ﾀﾝﾌﾟｰﾄﾞﾙEOC10","10.00","1.00","5670.00","5670","9900","9900","4230","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254971888","CPB VｺﾚｸﾁｭｰﾙN","10.00","2.00","4095.00","8190","7150","14300","6110","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254984451","CPBﾀﾝFｴｸﾗN OC20","10.00","1.00","8190.00","8190","14300","14300","6110","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254991237","DP Vﾛｰｼｮﾝ20AW(ﾚ)","10.00","2.00","2535.00","5070","4290","8580","3510","40.91"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254991251","DP Vｴﾏﾙｼﾞｮﾝ20AW(ﾚ)","10.00","2.00","2730.00","5460","4620","9240","3780","40.91"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254997109","CPB ﾀﾝｸﾚｰﾑｴｸﾗN OC10","10.00","1.00","8190.00","8190","14300","14300","6110","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254997123","CPB ﾀﾝｸﾚｰﾑｴｸﾗN OC20","10.00","1.00","8190.00","8190","14300","14300","6110","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872169269","EIｼｭﾍﾟﾘｴﾙｸﾚﾝｼﾞﾝｸﾞﾑｰｽ140ｍｌ","10.00","1.00","1800.00","1800","2640","2640","840","31.82"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872267248","資生堂ｽﾎﾟﾝｼﾞﾊﾟﾌｱｰﾃｨｽﾄﾀｯﾁ119","10.00","3.00","595.00","1785","748","2244","459","20.45"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872960675","BQD ｸﾚﾝｼﾞﾝｸﾞﾌｫｰﾑ","10.00","1.00","1575.00","1575","2750","2750","1175","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872960750","BQD ﾛｰｼｮﾝ2(ﾚ)","10.00","1.00","2079.00","2079","3630","3630","1551","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872960798","BQD ｴﾏﾙｼﾞｮﾝ2(ﾚ)","10.00","1.00","2142.00","2142","3740","3740","1598","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978110925","BQ ｸﾘｱﾛｰｼｮﾝ2","10.00","1.00","2835.00","2835","4950","4950","2115","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978110932","BQ ｸﾘｱﾛｰｼｮﾝ2(R)","10.00","1.00","2394.00","2394","4180","4180","1786","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978110956","BQ ｸﾘｱﾛｰｼｮﾝ3(R)","10.00","1.00","2394.00","2394","4180","4180","1786","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111144","BQ ｸﾘｱｴﾏﾙｼﾞｮﾝ2(R)","10.00","1.00","2772.00","2772","4840","4840","2068","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978123109","BQE ｵｰﾙｲﾝﾜﾝｼﾞｭﾚ(ﾚ)","10.00","1.00","1512.00","1512","2640","2640","1128","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978126025","BQL Lﾓｲｽﾁｬｰﾗｲｻﾞｰ2(ﾚ)","10.00","1.00","5229.00","5229","9130","9130","3901","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978128456","BQ ﾎﾘｽﾃｨｯｸﾎﾜｲﾄ(ﾚ)","10.00","1.00","5985.00","5985","10450","10450","4465","42.73"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978132026","EI LMﾛｰｼｮﾝ 2","10.00","1.00","2250.00","2250","3300","3300","1050","31.82"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978132200","EI LMｴﾏﾙｼﾞｮﾝ 2","10.00","1.00","2625.00","2625","3850","3850","1225","31.82"
"2022/10/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978133870","BQ ｸﾘｱﾊﾞｳﾝｽｸﾘｰﾑ ﾎﾝﾀｲ","10.00","1.00","6615.00","6615","11550","11550","4935","42.73"
"2022/10/01","554　愛国東店","0918","住之江店","01","食品","4981888015927","天然酵母　チョコパン","8.00","3.00","68.00","204","105","315","111","35.24"
"2022/10/01","554　愛国東店","0918","住之江店","01","食品","4981888015972","天然酵母　丹波黒豆抹茶パン","8.00","3.00","68.00","204","105","315","111","35.24"
"2022/10/01","554　愛国東店","0918","住之江店","01","食品","4981888016290","天然酵母　メロンパン","8.00","3.00","68.00","204","105","315","111","35.24"
"2022/10/01","554　愛国東店","0918","住之江店","01","食品","4981888017099","天然酵母　小倉あんパン","8.00","3.00","68.00","204","105","315","111","35.24"
"2022/10/01","554　愛国東店","0918","住之江店","01","食品","4981888017105","天然酵母　こしあんパン","8.00","2.00","68.00","136","105","210","74","35.24"
