﻿店舗名,特売,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率
"636　砺波店","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260130","レオピンロイヤル　２４０ｍｌ","10","240ML","1","14,515.93","26,286","27","709,710","317,780","44.78","13.87","",""
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250840417","人参牛黄カプセル　８０カプセル","10","80P","2","22,127.00","47,459","13","616,968","329,317","53.38","12.06","16.35","47.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","10","240ML","3","10,101.03","17,954","30","538,619","235,588","43.74","10.52","",""
"","","02","日用雑貨","0990","しみず倉庫","","","","","","","4582667345404","新型コロナウイルス抗原検査スティックＴＭ","10","1ﾎﾟﾝ","4","299.73","877","412","361,155","237,666","65.81","54.08","9.57","47.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250858115","ビルベリー＆ＤＨＡ　１２０粒","8","120","5","1,692.00","4,185","72","301,298","179,474","59.57","5.89","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260123","レオピンロイヤル　１２０ｍｌ","10","120ML","6","8,620.00","15,334","18","276,004","120,844","43.78","5.39","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","10","120ML","7","5,672.21","10,707","19","203,432","95,660","47.02","3.98","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250199317","エナックＷ　５４０錠","10","540","8","3,355.27","8,783","22","193,236","119,420","61.80","3.78","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250867117","プレビジョン　カルマジン　８００粒","8","800","9","1,108.00","2,818","62","174,740","106,044","60.69","3.41","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260116","レオピンロイヤル　６０ｍｌ","10","60ML","10","4,664.00","8,242","21","173,077","75,133","43.41","3.38","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250177216","トコベール３００Ｅ　２６０ｃｐ","10","260","11","2,897.00","10,225","15","153,375","109,920","71.67","3.00","",""
"","","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","","","","","4987103049371","コンドロイチンＺＳ　４５０錠","10","450ﾂﾌﾞ","12","6,000.00","9,911","15","148,670","58,670","39.46","9.66","3.94","47.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","10","","13","3,063.14","5,046","28","141,296","55,528","39.30","2.76","",""
"","","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","","","","","4987103049241","ヘパリ - ゼＧＴ２７０錠","10","","14","2,800.00","4,145","32","132,633","43,033","32.45","8.62","3.51","47.07"
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250305312","キョーレオピンネオｗ　240ｍｌ","10","","15","5,570.00","10,352","12","124,221","57,381","46.19","2.43","3.29","47.07"
"","","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","0001","フラグ、区分（２階層）","0002","医薬品、化粧品、医療機器分類","4987014041600","ウット　１２錠","10","","16","630.00","1,705","72","122,742","77,382","63.04","7.97","",""
