ìXï‹ñº,îÑè„ì˙,ê≈çûîÑè„ã‡äz,ê≈î≤îÑè„ã‡äz,è¡îÔê≈8%,è¡îÔê≈10%,ëeóòã‡äz,ëeóòó¶,îÉè„ì_êî,àÍì_íPâø,ï‘ïiã‡äz,ï‘ïiì_êî,ó›åvîÑè„ã‡äz,ó›åvëeóòã‡äz
"ñ{ïî","2022/10/01","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/03","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/04","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/06","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/07","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/08","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/10","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/11","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/12","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/13","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/14","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/15","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/17","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/10/18","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"í îÃ","2022/10/01","64,520","58,655","0","5,865","27,508","46.90","7","8,379.29","0","0","64,520","27,508"
"í îÃ","2022/10/03","0","0","0","0","0","0.00","0","0.00","0","0","64,520","27,508"
"í îÃ","2022/10/04","5,530","5,028","0","502","3,152","62.69","2","2,514.00","0","0","70,050","30,660"
"í îÃ","2022/10/05","0","0","0","0","0","0.00","0","0.00","0","0","70,050","30,660"
"í îÃ","2022/10/06","104,930","95,394","0","9,537","50,770","53.22","7","13,627.71","0","0","174,980","81,430"
"í îÃ","2022/10/08","0","0","0","0","0","0.00","0","0.00","0","0","174,980","81,430"
"í îÃ","2022/10/11","41,330","37,574","0","3,756","22,167","59.00","4","9,393.50","0","0","216,310","103,597"
"í îÃ","2022/10/12","0","0","0","0","0","0.00","0","0.00","0","0","216,310","103,597"
"í îÃ","2022/10/13","0","0","0","0","0","0.00","0","0.00","0","0","216,310","103,597"
"í îÃ","2022/10/14","25,240","22,946","0","2,294","12,714","55.41","3","7,648.67","0","0","241,550","116,311"
"í îÃ","2022/10/15","0","0","0","0","0","0.00","0","0.00","0","0","241,550","116,311"
