仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/08/01","268　松本店","0963","ミラドラ薬局","03","ＯＴＣ医薬品類","4956621011153","松寿仙　１２本新","10.00","-2.00","13368.00","-26736","22000","-44000","-17264","39.24"
"2022/08/01","540　さなだ店","0423","東邦薬品","03","ＯＴＣ医薬品類","4987892116056","電子血圧計　W1200","10.00","3.00","4549.00","13647","6600","19800","6153","31.08"
"2022/08/01","540　さなだ店","0612","メディセオ","03","ＯＴＣ医薬品類","4987177710955","ｸﾘﾆｾｯﾄ","10.00","1.00","4117.00","4117","5830","5830","1713","29.38"
"2022/08/01","540　さなだ店","1912","関が原店","04","化粧品","4987353520514","プローラウォータージェル  150  ｍｌ","10.00","5.00","1646.00","8230","3234","16170","7940","49.1"
"2022/08/01","540　さなだ店","1912","関が原店","04","化粧品","4987353521320","ﾌﾟﾛｰﾗUV  クリーム  30  ｇ","10.00","5.00","1058.00","5290","1980","9900","4610","46.57"
"2022/08/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4903301248958","デントヘルスＳＰ 90 ｇ","10.00","2.00","820.00","1640","1298","2596","956","36.83"
"2022/08/01","554　愛国東店","0530","ほくやく","02","日用雑貨","4987767625201","コラージュＤ乾性肌用石鹸","10.00","1.00","509.00","509","657","657","148","22.53"
"2022/08/01","554　愛国東店","0530","ほくやく","03","ＯＴＣ医薬品類","4987009184275","チェックワン　ファスト２回用","10.00","1.00","720.00","720","1518","1518","798","52.57"
"2022/08/01","554　愛国東店","0530","ほくやく","03","ＯＴＣ医薬品類","4987038730016","ピューラックス　１８００ｍｌ","10.00","1.00","752.00","752","1188","1188","436","36.7"
"2022/08/01","554　愛国東店","0530","ほくやく","03","ＯＴＣ医薬品類","4987084411945","サンテ　ドライケア　１２ｍｌ","10.00","1.00","530.00","530","712","712","182","25.56"
"2022/08/01","554　愛国東店","0699","材料転用","03","ＯＴＣ医薬品類","0000049554007","ﾀﾞｲﾜ ｻｻﾍﾙｽ","10.00","30.00","167.00","5010","440","13200","8190","62.05"
"2022/08/01","554　愛国東店","0699","材料転用","03","ＯＴＣ医薬品類","4954177001338","ササヘルス　２０ｍｌ×３０本","10.00","-1.00","5000.00","-5000","11000","-11000","-6000","54.55"
"2022/08/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4954097706924","葛根湯内服液Ｋ　３０ｍｌ×３本","10.00","5.00","135.00","675","437","2185","1510","69.11"
"2022/08/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4975446941483","ハツモールヘアグロアーＳ　　　　　　　２５０ＭＬ","10.00","1.00","2236.00","2236","5280","5280","3044","57.65"
"2022/08/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4987009101517","ノーシン　散剤　２０包","10.00","-2.00","530.00","-1060","679","-1358","-298","21.94"
"2022/08/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4987474153127","ワグラスＤ錠　　１５０錠","10.00","2.00","1035.00","2070","2585","5170","3100","59.96"
"2022/08/01","554　愛国東店","0918","住之江店","05","家庭用品","4582197051110","釧路市ごみ処理手数料　　　　可燃　１０Ｌ　１０枚","10.00","5.00","225.00","1125","260","1300","175","13.46"
"2022/08/01","554　愛国東店","0918","住之江店","05","家庭用品","4582197051127","釧路市ごみ処理手数料　　　　可燃　２０Ｌ　１０枚","10.00","5.00","441.00","2205","520","2600","395","15.19"
"2022/08/01","554　愛国東店","0918","住之江店","11","その他商品","4562239778120","ダチョウ抗体マスク　Ｒｻｲｽﾞ　ＣＲ－８１　５０枚入","10.00","-2.00","5250.00","-10500","8250","-16500","-6000","36.36"
