店舗名,商品コード,商品名,税率,賞味期限,容量,原単価,売単価,在庫数,原価金額,売価金額
"通販","0000011111184","ﾎﾟｰﾁ　ｱｲｱﾝﾏﾝ　ﾎﾞﾃﾞｨ","10.00","","","2,226.00","5,980","-1","-2,226","-5,980"
"通販","0000011111320","MARVEL ｶﾊﾞｰ ｱｲｱﾝﾏﾝ L","10.00","","","1,864.00","4,980","-1","-1,864","-4,980"
"通販","0000011111344","MARVEL ｶﾊﾞｰ ｷｬﾌﾟﾃﾝ L","10.00","","","1,864.00","4,980","-1","-1,864","-4,980"
"通販","0000011111368","MARVEL ｶﾊﾞｰ ｽﾊﾟｲﾀﾞ-L","10.00","","","1,960.00","4,980","-1","-1,960","-4,980"
"通販","0000011111528","MARVEL ｶﾊﾞｰ ﾌﾞﾗｯｸP M","10.00","","","1,782.00","4,480","-1","-1,782","-4,480"
"通販","0000011111689","MARVEL TAG ﾌﾞﾗｯｸ　ABLACKTAG","10.00","","","635.00","1,980","-2","-1,270","-3,960"
"通販","0000011111726","MARVEL　ﾊﾟｽﾎﾟｰﾄｹｰｽ黒","10.00","","","1,700.00","4,980","-1","-1,700","-4,980"
"通販","0000011111733","MARVEL　ﾊﾟｽﾎﾟｰﾄｹｰｽ紫","10.00","","","1,700.00","4,980","-1","-1,700","-4,980"
"通販","0000022219022","DISNEY ﾎﾟｰﾁ CLASSICB","10.00","","","2,042.00","3,980","-1","-2,042","-3,980"
"通販","0000022219039","DISNEY ﾎﾟｰﾁ MINNIERE","10.00","","","2,042.00","3,980","-1","-2,042","-3,980"
"通販","0000022222060","DISNEY ｶﾊﾞｰ BLACK L","10.00","","","1,700.00","4,480","-3","-5,100","-13,440"
"通販","0000022222091","DISNEY ｶﾊﾞｰﾐﾆｰPINK M","10.00","","","1,426.00","3,980","-2","-2,852","-7,960"
"通販","0000022222145","Disney 折りたたみバッグ　ADISNEYBAG","10.00","","","1,546.00","3,980","-3","-4,638","-11,940"
"通販","0000022222152","Disney Back Pack　ADISNEYBACKPACK","10.00","","","1,376.00","4,980","-4","-5,504","-19,920"
"通販","0000055555104","ﾏｰﾍﾞﾙ　折り畳みﾊﾞｯｸﾞ","10.00","","","1,508.00","3,980","-2","-3,016","-7,960"
"通販","0001901020005","CityTraveler　緑　S","10.00","","","5,618.00","14,800","-1","-5,618","-14,800"
"通販","0001901020029","CityTraveler　ｸﾞﾚｰS","10.00","","","5,618.00","14,800","-1","-5,618","-14,800"
"通販","0002170028013","CUBE MAT RED 28"L","10.00","","","9,675.00","21,800","-1","-9,675","-21,800"
"通販","0002170028044","CUBE MAT PINK　28"L","10.00","","","9,609.00","21,800","-1","-9,609","-21,800"
"通販","0002427020036","MARVEL ﾊﾟﾝｻｰBK 20"S","10.00","","","9,000.00","28,800","-1","-9,000","-28,800"
"通販","0002427025017","MARVEL ｷｬﾌﾟﾃﾝBL 25"M","10.00","","","10,350.00","32,800","-2","-20,700","-65,600"
"通販","0002427025031","MARVEL ﾊﾟﾝｻｰBK 25"M","10.00","","","10,350.00","32,800","-2","-20,700","-65,600"
"通販","0002427025109","MARVEL　BﾊﾟﾝｻｰS　Ｍ","10.00","","","10,122.00","22,800","-4","-40,488","-91,200"
"通販","0002427029015","MARVEL ｷｬﾌﾟﾃﾝBL 29"L","10.00","","","11,250.00","35,800","-4","-45,000","-143,200"
"通販","0002427029053","MARVEL ｿｰGB 29"L","10.00","","","11,300.00","35,800","-1","-11,300","-35,800"
"通販","0002427029077","MARVEL ｽﾊﾟｲﾀﾞｰB 29"L","10.00","","","11,880.00","35,800","-1","-11,880","-35,800"
"通販","0002427029084","MARVEL　ｱｲｱﾝﾏﾝS　Ｌ","10.00","","","10,983.00","24,800","-1","-10,983","-24,800"
"通販","0002427029107","MARVEL　BﾊﾟﾝｻｰS　Ｌ","10.00","","","10,983.00","24,800","-3","-32,949","-74,400"
"通販","0002450020010","LEGEND4 ﾋﾟﾝｸ 20"S","10.00","","","7,182.00","16,800","-1","-7,182","-16,800"
"通販","0002450025022","LEGEND4 ﾏﾘﾝﾌﾞﾙｰ 25"M","10.00","","","8,212.00","19,800","-1","-8,212","-19,800"
"通販","0002609020021","DISNEY ﾐﾆｰPINK 20"S","10.00","","","6,493.00","19,800","-1","-6,493","-19,800"
"通販","0002609024029","DISNEY ﾐﾆｰPINK 24"M","10.00","","","7,366.00","22,800","-2","-14,732","-45,600"
"通販","0002609028041","ﾐｯｷｰ　ｱﾙﾐ　赤/黒　L","10.00","","","11,732.00","44,800","-1","-11,732","-44,800"
"通販","0002609028065","ﾐｯｷｰ　ｱﾙﾐ　赤　L","10.00","","","11,732.00","44,800","-1","-11,732","-44,800"
"通販","2087801028462","配送設置料(その他) 宅急便","10.00","","","0.00","0","-78","0","0"
"通販","2087801038287","通販部 代引手数料","10.00","","","0.00","0","-6","0","0"
"佐々店","0000000001007","Jｴｱｺﾝ M工事費 5k未満","10.00","","","0.00","0","-1","0","0"
"佐々店","0000000001038","Jｴｱｺﾝ M取外し料金","10.00","","","0.00","4,950","-7","0","-34,650"
"佐々店","0000000001052","Jｴｱｺﾝ M工事費 配送料","10.00","","","0.00","3,960","-42","0","-166,320"
"佐々店","0000000004053","Tｴｱｺﾝ M工事費 配送料","10.00","","","0.00","0","-4","0","0"
