﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"554　愛国東店","","90","湧永製品","0918","住之江店","","","","","","","4968250260130","レオピンロイヤル　２４０ｍｌ","10","240ML","1","14,166.00","25,884","16","414,137","187,481","45.27","24.83","11.15","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250266316","キヨーレオピンＮＥＯ　２４０ｍｌ","10","240ML","2","4,673.00","9,511","22","209,247","106,441","50.87","12.55","5.63","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250266217","キヨーレオピンＮＥＯ　１２０ｍｌ","10","120ML","3","2,650.00","5,440","33","179,504","92,054","51.28","10.76","4.83","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","10","240ML","4","9,348.00","18,412","8","147,295","72,511","49.23","8.83","3.96","100.00"
"","","03","ＯＴＣ医薬品類","0918","住之江店","","","","","","","4954177100406","ｻｻﾍﾙｽ 　１２７ｍｌｘ６","10","127ML","5","4,650.00","9,267","15","139,012","69,262","49.82","14.52","3.74","100.00"
"","","03","ＯＴＣ医薬品類","0625","理研新薬","","","","","","","4987299115119","ゴールドグロンＧ　内服液","10","","6","720.00","880","125","109,955","19,955","18.15","11.49","2.96","100.00"
"","","03","ＯＴＣ医薬品類","0918","住之江店","","","","","","","4954177100307","ｻｻﾍﾙｽ 　１２７ｍｌｘ３","10","127ML","7","2,500.00","4,907","19","93,234","45,734","49.05","9.74","2.51","100.00"
"","","01","食品","0918","住之江店","","","","","","","4987596255419","ヤクケンバイオリンク　ＢＣＥｘ　４００ｍｌ","8","","8","12,604.00","23,125","4","92,500","42,084","45.50","19.85","2.49","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","10","120ML","9","5,300.00","10,964","7","76,747","39,647","51.66","4.60","2.07","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250260116","レオピンロイヤル　６０ｍｌ","10","60ML","10","4,452.00","8,388","9","75,493","35,425","46.92","4.53","2.03","100.00"
"","","01","食品","0918","住之江店","","","","","","","4987596255563","ヤクケン　バイオリンクＢＣＥｘ５０３　３０ｍｌ×３","8","30ML 3","11","4,537.00","7,520","10","75,200","29,830","39.67","16.14","2.02","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250260123","レオピンロイヤル　１２０ｍｌ","10","120ML","12","8,095.00","15,986","4","63,943","31,563","49.36","3.83","1.72","100.00"
"","","03","ＯＴＣ医薬品類","0918","住之江店","","","","","","","4954177001161","ササヘルス　２４本入り","10","","13","16,000.00","31,684","2","63,367","31,367","49.50","6.62","1.71","100.00"
"","","03","ＯＴＣ医薬品類","0411","大正製薬","","","","","","","4987306057791","リアップＸ５プラスネオ","10","60ML","14","5,033.00","7,037","9","63,332","18,035","28.48","6.62","1.70","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250224118","フジビトール　２００ｃｐ","10","200","15","2,830.00","7,986","7","55,900","36,090","64.56","3.35","1.50","100.00"
"","","01","食品","0918","住之江店","","","","","","","4987596250018","ｸﾛﾚﾗ 　バイオリンク 1000","8","1000ﾂﾌ","16","5,060.00","9,091","6","54,543","24,183","44.34","11.71","1.47","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250867117","プレビジョン　カルマジン　８００粒","8","800","17","1,119.00","3,625","15","54,374","37,589","69.13","3.26","1.46","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250305312","キヨーレオピンネオＷ　　２４０ｍｌ","10","","18","5,574.00","10,401","5","52,003","24,133","46.41","3.12","1.40","100.00"
"","","03","ＯＴＣ医薬品類","0918","住之江店","","","","","","","4954177100703","ササヘルス　１２７ｍｌ×１２本","10","","19","8,500.00","16,983","3","50,950","25,450","49.95","5.32","1.37","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","10","","20","2,891.00","5,981","8","47,850","24,722","51.67","2.87","1.29","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250266118","キヨーレオピンＮＥＯ　６０ｍｌ","10","60ML","21","1,445.00","2,986","14","41,800","21,570","51.60","2.51","1.13","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250294111","プレビジョン　ﾗｸｯｼｮﾝ　270錠","8","","22","1,709.00","5,792","7","40,541","28,578","70.49","2.43","1.09","100.00"
"","","01","食品","0614","モロオ","","","","","","","4582265570031","イムノメディク・ピュア　　　　　　　　　１２０包","8","120ﾎｳ","23","26,000.00","40,000","1","40,000","14,000","35.00","8.59","1.08","100.00"
"","","02","日用雑貨","0105","あらた","","","","","","","4903111537839","ライフリー うす型軽快パンツＳ　２４枚","10","","24","1,425.00","1,646","24","39,499","5,299","13.42","13.19","1.06","100.00"
"","","01","食品","0918","住之江店","","","","","","","4987596250032","ｸﾛﾚﾗ 　バイオリンク 2000","8","2000ﾂﾌ","25","9,075.00","14,687","2","29,373","11,223","38.21","6.30","0.79","100.00"
"","","03","ＯＴＣ医薬品類","0918","住之江店","","","","","","","4954177001147","ｻｻﾍﾙｽ 　１２７ｍｌ","10","127ML","26","810.00","1,715","17","29,150","15,380","52.76","3.05","0.78","100.00"
"","","02","日用雑貨","0105","あらた","","","","","","","4902011745009","グ～ン　スーパーＢＩＧ　２８枚","10","28ﾏｲ","27","1,348.00","1,580","18","28,440","4,176","14.68","9.49","0.77","100.00"
"","","03","ＯＴＣ医薬品類","0918","住之江店","","","","","","","4954177001338","ササヘルス　２０ｍｌ×３０本","10","","28","4,791.67","9,083","3","27,248","12,873","47.24","2.85","0.73","100.00"
"","","03","ＯＴＣ医薬品類","0614","モロオ","","","","","","","0000049344233","ネオシーダー　キングサイズ　２０本入","10","","29","220.00","312","71","22,152","6,532","29.49","2.31","0.60","100.00"
"","","03","ＯＴＣ医薬品類","0126","大木","","","","","","","4987123142168","ニコレット　９６個","10","","30","4,685.00","5,520","4","22,080","3,340","15.13","2.31","0.59","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250199218","エナックＷ　２７０錠","10","270","31","1,889.00","5,323","4","21,292","13,736","64.51","1.28","0.57","100.00"
"","","11","その他商品","0212","ＣＲＯＳＳＥＥＤ","","","","","","","4562239778120","ダチョウ抗体マスク　Ｒｻｲｽﾞ　ＣＲ－８１　５０枚入","10","50ﾏｲ","32","5,250.00","7,000","3","21,000","5,250","25.00","22.90","0.57","100.00"
"","","03","ＯＴＣ医薬品類","0918","住之江店","","","","","","","4987239103121","ハイエナル“８８”内服液　３０ｍｌ×２本","10","30ML 2","33","189.00","380","55","20,900","10,505","50.26","2.18","0.56","100.00"
"","","11","その他商品","0105","あらた","","","","","","","4904585044120","リフレ　スーパー尿ﾊﾟｯﾄﾞ　女性用　５２枚入り","10","","34","582.00","698","28","19,544","3,248","16.62","21.31","0.53","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250358110","湧永田七　分包　６０包","8","60","35","3,081.00","9,500","2","19,000","12,838","67.57","1.14","0.51","100.00"
"","","01","食品","0751","社内物流","","","","","","","4993387020012","タヒボＮＥＷＥＸプラス３０包","8","30H","36","8,750.00","17,500","1","17,500","8,750","50.00","3.76","0.47","100.00"
"","","90","湧永製品","0918","住之江店","","","","","","","4968250281326","キヨーレオピンキャプレットＳ２００錠","10","200ｼﾞｮ","37","2,326.00","5,789","3","17,368","10,390","59.82","1.04","0.47","100.00"
"","","03","ＯＴＣ医薬品類","0411","大正製薬","","","","","","","4987306064782","リアップ　リジェンヌ　６０ｍｌ","10","","38","3,563.00","5,500","3","16,500","5,811","35.22","1.72","0.44","100.00"
"","","01","食品","0918","住之江店","","","","","","","4987596250902","ｸﾛﾚﾗ 　バイオリンク　５００粒","8","500ﾂﾌﾞ","39","2,640.00","4,800","3","14,400","6,480","45.00","3.09","0.39","100.00"
