﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"639　大島店","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260130","レオピンロイヤル　２４０ｍｌ","10","240ML","1","14,166.00","25,516","5","127,582","56,752","44.48","8.04","",""
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250840417","人参牛黄カプセル　８０カプセル","10","80P","2","22,127.00","41,500","3","124,500","58,119","46.68","7.85","6.66","51.07"
"","","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4987433120054","プラセントップ液 ３０ｍｌ","10","30ML","3","310.00","835","122","101,901","64,081","62.89","12.24","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","10","240ML","4","10,127.00","16,233","6","97,400","36,638","37.62","6.14","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260123","レオピンロイヤル　１２０ｍｌ","10","120ML","5","8,432.50","16,000","6","96,000","45,405","47.30","6.05","",""
"","","04","化粧品","0139","IRIS北陸販売株式会社","","","0012","帳票グループ","0002","売上　シミズ推奨品","4571432380016","エヴァーチェンジングトナー　１５０ｍｌ","10","","6","1,741.72","3,622","25","90,546","47,003","51.91","19.02","",""
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250177216","トコベール３００Ｅ　２６０ｃｐ","10","260","7","2,897.00","10,548","8","84,382","61,206","72.53","5.32","4.51","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250858115","プレビジョン　ビルベリー＆ＤＨＡ　１２０粒","8","120","8","1,692.00","4,725","17","80,320","51,556","64.19","5.06","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250266217","キヨーレオピンＮＥＯ　１２０ｍｌ","10","120ML","9","2,650.00","5,147","15","77,200","37,450","48.51","4.87","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250260116","レオピンロイヤル　６０ｍｌ","10","60ML","10","4,823.00","8,036","9","72,323","28,916","39.98","4.56","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","10","","11","3,132.00","5,326","13","69,242","28,526","41.20","4.37","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250199317","エナックＷ　５４０錠","10","540","12","3,433.00","8,861","7","62,030","37,999","61.26","3.91","",""
"","","04","化粧品","0990","しみず倉庫","","","","","","","4515748001791","プレミアム １０エミュークリーム１５０ｇ","10","","13","3,230.00","7,000","8","56,000","30,160","53.86","11.76","3.00","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250293213","レオピンロイヤルキャプレット　１００錠","10","100ｼﾞｮ","14","4,959.00","9,233","6","55,400","25,646","46.29","3.49","2.96","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","10","120ML","15","5,742.00","10,921","5","54,607","25,897","47.42","3.44","",""
"","","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","","","","","4987103049371","コンドロイチンＺＳ　４５０錠","10","450ﾂﾌﾞ","16","6,000.00","10,859","5","54,294","24,294","44.75","6.52","2.90","51.07"
"","","02","日用雑貨","0501","ナカトミ","","","","","","","4515748001852","プレミアム１００エミューエッセンス１５ｍｌ","10","15ML","17","2,400.00","4,443","12","53,320","24,520","45.99","10.63","2.85","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250867117","ＰＶカルマジン　８００粒","8","800","18","1,108.00","3,322","16","53,147","35,419","66.64","3.35","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250854124","ＰＶグリーン末　９０包","8","90","19","1,401.00","3,797","13","49,364","31,151","63.10","3.11","",""
"","⚫","03","ＯＴＣ医薬品類","0312","ジョヴィＪＯＶＹ","","","","","","","4987236000065","薬用養命酒１０００ｍｌ","10","1000ML","20","1,752.00","1,880","25","47,000","3,200","6.81","5.64","2.51","51.07"
"","","02","日用雑貨","0191","競合店仕入","","","","","","","4582667345404","新型コロナウイルス抗原検査スティックＴＭ","10","","21","305.00","966","47","45,415","31,080","68.44","9.05","2.43","51.07"
"","⚫","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","","","","","4987014016707","新バイトゴ－ルド３０００ドリンク５０本","10","","22","1,850.00","2,842","15","42,624","14,874","34.90","5.12","2.28","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250177117","トコベール３００Ｅ　１３０ｃｐ","10","130","23","1,765.00","7,573","5","37,865","29,040","76.69","2.39","",""
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250306210","ＰＶアクティブレインプレミアム３６０粒入","8","","24","4,744.00","9,403","4","37,610","18,634","49.55","2.37","2.01","51.07"
"","⚫","02","日用雑貨","0312","ジョヴィＪＯＶＹ","","","0904","ブランド（雑貨メーカー）","0022","花王","4901301745910","ワイドハイター詰替用７２０ｍｌ","10","720ML","25","85.75","98","373","36,456","4,471","12.26","7.27","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250266118","キヨーレオピンＮＥＯ　６０ｍｌ","10","60ML","26","1,445.00","2,550","14","35,706","15,476","43.34","2.25","",""
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250281326","キヨーレオピンキャプレットＳ２００錠","10","200ｼﾞｮ","27","2,326.00","5,583","6","33,499","19,543","58.34","2.11","1.79","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250300119","宝脚　３００錠","8","300ﾂﾌﾞ","28","2,530.00","7,584","4","30,334","20,214","66.64","1.91","1.62","51.07"
"","","03","ＯＴＣ医薬品類","0505","中北薬品","","","","","","","0000049344233","ネオシーダー　キングサイズ　２０本入","10","","29","220.00","312","90","28,080","8,280","29.49","3.37","1.50","51.07"
"","","02","日用雑貨","0191","競合店仕入","","","","","","","4580743145382","新型コロナ抗原・抗体検査ペン型デバイス","10","","30","516.35","1,380","20","27,600","17,273","62.58","5.50","1.48","51.07"
"","","02","日用雑貨","0990","しみず倉庫","","","","","","","4571310341122","ウィルスバリアノヴァ液体消臭ミストタイプ 2L","10","2L","31","6,490.00","11,852","2","23,704","10,724","45.24","4.72","1.27","51.07"
"","","03","ＯＴＣ医薬品類","0990","しみず倉庫","","","","","","","4987103049241","ヘパリーゼＧＴ錠２７０錠入","10","","32","2,800.00","5,833","4","23,330","12,130","51.99","2.80","1.25","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250194213","グラッドル錠　１２０錠","10","120","33","1,969.00","5,632","4","22,528","14,652","65.04","1.42","",""
"","","03","ＯＴＣ医薬品類","0326","ゼリア新薬工業","","","","","","","4987103049357","コンドロイチンＺＳ１５０錠","10","150ｼﾞｮ","34","2,350.00","4,500","5","22,500","10,750","47.78","2.70","1.20","51.07"
"","⚫","01","食品","0112","イトー企画","","","","","","","4973044090732","杉食　ぬか玄　粉末２．５ｇ×８０包","8","","35","1,280.00","1,480","14","20,720","2,800","13.51","7.84","1.11","51.07"
"","⚫","01","食品","0112","イトー企画","","","","","","","4973044090749","杉食　ぬか玄　顆粒　２ｇ×８０包","8","","36","1,280.00","1,480","13","19,240","2,600","13.51","7.28","1.03","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250266316","キヨーレオピンＮＥＯ　２４０ｍｌ","10","240ML","37","4,673.00","9,524","2","19,048","9,702","50.93","1.20","",""
"","","01","食品","0990","しみず倉庫","","","","","","","4582368480190","プラズマローゲン　６０粒","8","60ﾂﾌﾞ","38","2,666.00","6,000","3","18,000","10,002","55.57","6.81","0.96","51.07"
"","","04","化粧品","0139","IRIS北陸販売株式会社","","","0012","帳票グループ","0002","売上　シミズ推奨品","4571432380061","アロマＤｅ　ロ・ション１５０ｍｌ","10","150ML","39","2,000.00","2,522","7","17,657","3,657","20.71","3.71","",""
"","","90","湧永製品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4968250868114","プレビジョン　ウリラックス　１２０粒","8","120T","40","1,859.00","5,800","3","17,400","11,823","67.95","1.10","",""
"","","04","化粧品","0532","ホワイトリリー富山販売","","","0012","帳票グループ","0002","売上　シミズ推奨品","4957272004969","ウエルハース ミルキー","10","100ML","41","1,820.00","2,174","8","17,388","2,828","16.26","3.65","",""
"","","01","食品","0990","しみず倉庫","","","0012","帳票グループ","0002","売上　シミズ推奨品","4582368480053","水素力９０カプセル","8","","42","3,876.00","8,400","2","16,800","9,048","53.86","6.36","",""
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250281227","キョーレオピンキャプレットＳ１００錠","10","100T","43","1,368.00","3,300","5","16,500","9,660","58.55","1.04","0.88","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250303110","眠りエール ３０日分（４５カプセル×２袋）","8","90CP","44","1,730.00","5,400","3","16,200","11,010","67.96","1.02","0.87","51.07"
"","","90","湧永製品","0990","しみず倉庫","","","","","","","4968250293312","レオピンロイヤルキャプレット　２００錠","10","200ｼﾞｮ","45","8,717.00","8,059","2","16,117","-1,317","-8.17","1.02","0.86","51.07"
"","","04","化粧品","0139","IRIS北陸販売株式会社","","","0012","帳票グループ","0002","売上　シミズ推奨品","4571432380078","アロマＤｅ　ジュレ　６０ｍｌ","10","","46","4,000.00","8,000","2","16,000","8,000","50.00","3.36","",""
"","⚫","02","日用雑貨","0312","ジョヴィＪＯＶＹ","","","","","","","4901301365545","アタック高活性バイオＥＸ９００ｇ","10","","47","195.00","215","74","15,896","1,466","9.22","3.17","0.85","51.07"
