店舗名,棚番(初回),棚番(最終),棚番(他),商品コード,商品名,税率,部門コード,部門名,大分類コード,大分類名,中分類コード,中分類名,仕入先コード,仕入先名,実棚数量(A),実績差異,本部原価(B),店舗原価(C),本部実棚金額(D=A×B),店舗実棚金額(E=A×C),実棚売価金額,単品売価,原価差額(B-C),実棚差額(D-E)
"山手通り店","002","002","","0000045019517","ﾎﾟｶﾘｽｴｯﾄﾍﾟｯﾄ","8.00","24","大木","","","","","0048","大木","27","0","105.00","105.00","2,835.00","2,835","3,240","120","2,835.00","0.00"
"山手通り店","002","","","0000049111729","アトリックスチューブ　５０ｇ","10.00","23","西川商店","","","","","0607","ﾆｼｶﾜ","3","-1","177.00","177.00","531.00","531","687","229","531.00","0.00"
"山手通り店","002","","","0000049166644","キンチョープレシャワーＤＦミスト","10.00","24","大木","","","","","0048","大木","4","0","340.00","340.00","1,360.00","1,360","2,520","630","1,360.00","0.00"
"山手通り店","002","","","0000049292237","コロスキン","10.00","24","大木","","","","","0048","大木","2","0","554.00","554.00","1,108.00","1,108","1,556","778","1,108.00","0.00"
"山手通り店","002","","","0000049325256","S ﾊﾝﾄﾞｸﾘ-ﾑA","10.00","23","西川商店","","","","","0607","ﾆｼｶﾜ","4","0","165.00","165.00","660.00","660","988","247","660.00","0.00"
"山手通り店","001","","","0000049355147","ｷﾚｲｷﾚｲ ﾔｸﾖｳﾃﾕﾋﾞﾉｼﾖｳﾄﾞｸｼﾞｴﾙ230ML","10.00","23","西川商店","","","","","0607","ﾆｼｶﾜ","3","-1","381.00","381.00","1,143.00","1,143","1,632","544","1,143.00","0.00"
"山手通り店","001","","","0000049355161","ｷﾚｲｷﾚｲ ﾔｸﾖｳﾃﾕﾋﾞﾉｼﾖｳﾄﾞｸｼﾞｴﾙ ｹｲﾀｲﾖｳ28ML","10.00","23","西川商店","","","","","0607","ﾆｼｶﾜ","5","0","250.00","250.00","1,250.00","1,250","1,810","362","1,250.00","0.00"
"山手通り店","002","","","0000049447316","ﾀｺﾉｽｲﾀﾞｼ","10.00","24","大木","","","","","0048","大木","1","0","770.00","770.00","770.00","770","900","900","770.00","0.00"
"山手通り店","002","","","0000049469776","サラテクトマイルドミニ","10.00","23","西川商店","","","","","0607","ﾆｼｶﾜ","5","0","306.00","306.00","1,530.00","1,530","2,170","434","1,530.00","0.00"
"山手通り店","001","","","0000049608724","テピカジエルプラス６０ミリ","10.00","24","大木","","","","","0048","大木","5","0","330.00","330.00","1,650.00","1,650","2,585","517","1,650.00","0.00"
"山手通り店","001","","","0000049608847","ﾃﾋﾟｶｼﾞｪﾙ","10.00","24","大木","","","","","0048","大木","5","-1","290.00","290.00","1,450.00","1,450","2,265","453","1,450.00","0.00"
"山手通り店","001","","","0000049721546","ＭＢカップ　ストロベリー","8.00","24","大木","","","","","0048","大木","3","0","161.00","161.00","483.00","483","681","227","483.00","0.00"
"山手通り店","002","","","0000049795936","ｸﾘﾆｶ ｷｯｽﾞﾌｯｿｼﾞｪﾙ","10.00","23","西川商店","","","","","0607","ﾆｼｶﾜ","3","0","208.00","208.00","624.00","624","807","269","624.00","0.00"
"山手通り店","002","","","4515061089223","ﾈｲﾙﾈｲﾙﾈｲﾙｻﾎﾟｰﾄ","10.00","32","二見両国堂","","","","","0622","ﾌﾀﾐ","2","0","455.00","455.00","910.00","910","1,178","589","910.00","0.00"
"山手通り店","001","","","4534551012015","ﾏ-ﾋﾞ- ﾃｲｶﾛﾘ-ｶﾝﾐﾘﾖｳ ｴｷｼﾞﾖｳ620G","8.00","24","大木","","","","","0048","大木","2","0","595.00","595.00","1,190.00","1,190","1,576","788","1,190.00","0.00"
