店舗名,棚番(初回),棚番(最終),棚番(他),商品コード,商品名,税率,部門コード,部門名,大分類コード,大分類名,中分類コード,中分類名,仕入先コード,仕入先名,実棚数量(A),実績差異,本部原価(B),店舗原価(C),本部実棚金額(D=A×B),店舗実棚金額(E=A×C),実棚売価金額,単品売価,原価差額(B-C),実棚差額(D-E)
"山手通り店","","","","0000045019517","ﾎﾟｶﾘｽｴｯﾄﾍﾟｯﾄ","8.00","24","大木","","","","","0048","大木","5","0","105.00","105.00","525.00","525","600","120","525.00","0.00"
"山手通り店","","","","0000049243710","イブA錠","10.00","02","エスエス製薬","","","","","0900","本部","1","0","556.00","489.00","556.00","489","522","522","556.00","67.00"
"山手通り店","","","","0000049252088","ドルマイシン軟膏","10.00","56","ぜりあ","","","","","0900","本部","1","0","350.00","350.00","350.00","350","759","759","350.00","0.00"
"山手通り店","","","","0000049254334","ｲﾁｼﾞｸ ｶﾝﾁﾖｳ","10.00","20","白十字","","","","","0603","ﾊｸｼﾞｭｳｼﾞ","2","0","150.00","150.00","300.00","300","420","210","300.00","0.00"
"山手通り店","","","","0000049608847","ﾃﾋﾟｶｼﾞｪﾙ","10.00","24","大木","","","","","0048","大木","6","0","290.00","290.00","1,740.00","1,740","2,718","453","1,740.00","0.00"
"山手通り店","","","","0000049721546","ＭＢカップ　ストロベリー","8.00","24","大木","","","","","0048","大木","1","0","161.00","161.00","161.00","161","227","227","161.00","0.00"
"山手通り店","","","","4511413404126","マルチビタミン６０ニチ","10.00","24","大木","","","","","0048","大木","2","0","420.00","420.00","840.00","840","1,200","600","840.00","0.00"
"山手通り店","","","","4513898020884","","","12","本部丸昭ミズキ","","","","","0900","本部","5","0","","250.00","0.00","1,250","2,265","453","0.00","0.00"
"山手通り店","","","","4513898027074","","","12","本部丸昭ミズキ","","","","","0900","本部","6","0","","85.00","0.00","510","708","118","0.00","0.00"
"山手通り店","","","","4522968301051","ジャバライリテンチャ","8.00","24","大木","","","","","0048","大木","3","0","520.00","520.00","1,560.00","1,560","2,223","741","1,560.00","0.00"
"山手通り店","","","","4526017081192","","10.00","53","山手通り医療機関","","","","","","","6","0","360.00","360.00","2,160.00","2,160","4,368","728","2,160.00","0.00"
"山手通り店","","","","4526017081352","","10.00","53","山手通り医療機関","","","","","","","4","0","450.00","450.00","1,800.00","1,800","3,640","910","1,800.00","0.00"
"山手通り店","","","","4526017081482","","10.00","53","山手通り医療機関","","","","","","","7","0","1125.00","1125.00","7,875.00","7,875","15,911","2,273","7,875.00","0.00"
"山手通り店","","","","4526017081840","","10.00","53","山手通り医療機関","","","","","","","2","0","450.00","450.00","900.00","900","1,820","910","900.00","0.00"
"山手通り店","","","","4526017081901","","10.00","53","山手通り医療機関","","","","","","","6","0","441.00","441.00","2,646.00","2,646","5,346","891","2,646.00","0.00"
"山手通り店","","","","4526017082144","","10.00","53","山手通り医療機関","","","","","","","5","0","360.00","360.00","1,800.00","1,800","3,640","728","1,800.00","0.00"
"山手通り店","","","","4526017082229","","10.00","53","山手通り医療機関","","","","","","","6","0","360.00","360.00","2,160.00","2,160","4,368","728","2,160.00","0.00"
"山手通り店","","","","4526017082588","","10.00","53","山手通り医療機関","","","","","","","3","0","1215.00","1215.00","3,645.00","3,645","7,365","2,455","3,645.00","0.00"
"山手通り店","","","","4526017083622","","10.00","53","山手通り医療機関","","","","","","","8","0","1125.00","1125.00","9,000.00","9,000","18,184","2,273","9,000.00","0.00"
"山手通り店","","","","4526017083875","","10.00","53","山手通り医療機関","","","","","","","5","0","1125.00","1125.00","5,625.00","5,625","11,365","2,273","5,625.00","0.00"
"山手通り店","","","","4530503024525","Ｃ１０００ビタミンレモン","8.00","12","本部丸昭ミズキ","","","","","0900","本部","3","0","75.00","75.00","225.00","225","300","100","225.00","0.00"
"山手通り店","","","","4534089541551","","10.00","53","山手通り医療機関","","","","","","","4","0","600.00","600.00","2,400.00","2,400","2,184","546","2,400.00","0.00"
"山手通り店","","","","4534089541575","","10.00","53","山手通り医療機関","","","","","","","1","0","250.00","250.00","250.00","250","228","228","250.00","0.00"
"山手通り店","","","","4534551012091","ﾏ-ﾋﾞ- ﾌﾙ-ﾂﾐﾂｸｽｷﾔﾝﾃﾞｲ49G","8.00","24","大木","","","","","0048","大木","1","0","175.00","175.00","175.00","175","232","232","175.00","0.00"
"山手通り店","","","","4534551012107","Sﾏ-ﾋﾞ- ﾏﾂﾁﾔｷﾔﾝﾃﾞｲ 49G","8.00","24","大木","","","","","0048","大木","1","0","175.00","175.00","175.00","175","232","232","175.00","0.00"
"山手通り店","","","","4534551012114","","8.00","24","大木","","","","","0048","大木","1","0","175.00","175.00","175.00","175","232","232","175.00","0.00"
"山手通り店","","","","4534551012121","","8.00","24","大木","","","","","0048","大木","1","0","175.00","175.00","175.00","175","232","232","175.00","0.00"
"山手通り店","","","","4534551012145","Sﾏ-ﾋﾞ- ﾍﾞﾂｺｳｱﾒ 49G","8.00","24","大木","","","","","0048","大木","1","0","175.00","175.00","175.00","175","232","232","175.00","0.00"
"山手通り店","","","","4534551012152","Sﾏ-ﾋﾞ- ｺ-ﾋ-ｷﾔﾝﾃﾞｲ 49G","8.00","24","大木","","","","","0048","大木","4","0","175.00","175.00","700.00","700","928","232","700.00","0.00"
"山手通り店","","","","4534551012282","ﾏ-ﾋﾞ- ﾃｲｶﾛﾘ-ﾏ-ﾏﾚ-ﾄﾞST10ﾎﾝ","8.00","24","大木","","","","","0048","大木","1","0","196.00","196.00","196.00","196","260","260","196.00","0.00"
"山手通り店","","","","4534551013371","","","","","","","","","","","1","0","","0.00","0.00","0","0","0","0.00","0.00"
"山手通り店","","","","4536117027020","","","53","山手通り医療機関","","","","","","","1","0","","5980.00","0.00","5,980","6,364","6,364","0.00","0.00"
"山手通り店","","","","4544884102994","ｽｷﾝﾋﾟｰﾙﾊﾞｰ AHAﾏｲﾙﾄﾞ","10.00","53","山手通り医療機関","","","","","","","5","0","1200.00","1200.00","6,000.00","6,000","10,000","2,000","6,000.00","0.00"
"山手通り店","","","","4544884103014","ｽｷﾝﾋﾟｰﾙﾊﾞｰ ﾃｨｰﾄｳﾘｰ","10.00","53","山手通り医療機関","","","","","","","4","0","1500.00","1500.00","6,000.00","6,000","10,000","2,500","6,000.00","0.00"
"山手通り店","","","","4544884104004","ｽｷﾝﾋﾟｰﾙﾊﾞｰ ﾊｲﾄﾞﾛｷﾉｰﾙ","10.00","53","山手通り医療機関","","","","","","","1","0","3000.00","3000.00","3,000.00","3,000","5,000","5,000","3,000.00","0.00"
"山手通り店","","","","4545766051843","","10.00","53","山手通り医療機関","","","","","","","1","0","168.00","168.00","168.00","168","228","228","168.00","0.00"
"山手通り店","","","","4560135600279","ﾊﾅﾎﾟﾝﾀﾞｲﾁｬﾝ","10.00","20","白十字","","","","","0603","ﾊｸｼﾞｭｳｼﾞ","3","0","143.00","143.00","429.00","429","708","236","429.00","0.00"
"山手通り店","","","","4560135600286","ﾊﾅﾎﾟﾝ ｼｮｳﾁｬﾝ","10.00","20","白十字","","","","","0603","ﾊｸｼﾞｭｳｼﾞ","2","0","143.00","143.00","286.00","286","472","236","286.00","0.00"
"山手通り店","","","","4560325290037","ｼｭｳｶﾝﾄｳﾔｸｶﾚﾝﾀﾞｰ","10.00","20","白十字","","","","","0603","ﾊｸｼﾞｭｳｼﾞ","1","0","1547.00","1547.00","1,547.00","1,547","2,267","2,267","1,547.00","0.00"
"山手通り店","","","","4562249829089","","10.00","24","大木","","","","","0048","大木","7","0","210.00","210.00","1,470.00","1,470","1,911","273","1,470.00","0.00"
"山手通り店","","","","4570098860016","","10.00","30","美商","","","","","0806","ﾋﾞｼｮｳ","2","0","420.00","420.00","840.00","840","1,400","700","840.00","0.00"
"山手通り店","","","","4570098860023","","10.00","30","美商","","","","","0806","ﾋﾞｼｮｳ","2","0","420.00","420.00","840.00","840","1,400","700","840.00","0.00"
"山手通り店","","","","4571107942532","","10.00","53","山手通り医療機関","","","","","","","8","0","2100.00","2100.00","16,800.00","16,800","24,000","3,000","16,800.00","0.00"
"山手通り店","","","","4571107942549","","10.00","53","山手通り医療機関","","","","","","","3","0","4800.00","4800.00","14,400.00","14,400","24,000","8,000","14,400.00","0.00"
